_id,content,Contenu
ObjectId(55ab18efa32b3e52b8b0a4b9),1. Keep it small. 2. Divide up dessert. 3. Avoid super-sizing. 4. Ask for more vegetables. 5. Go for whole grains. 6. Keep sodium in check. 7. Get sauce on the side. 8. Skip sweet drinks. 9. Ask how food is prepared. 10 Look ahead.,1. Gardez-le petit 2. Divisez le dessert 3. Évitez le super-calibrage 4. Demandez plus de légumes 5. Aller pour les grains entiers 6. Gardez le sodium en échec 7. Obtenez de la sauce sur le côté. Sauter les boissons sucrées 9. Demandez comment la nourriture est préparée.
ObjectId(55ab18efa32b3e52b8b0a4bb),"Use your fist to estimate 1 serving (15g) of carbohydrates (fruit, starch & grains).","Utilisez votre poing pour estimer 1 portion (15g) de glucides (fruits, amidon et grains)."
ObjectId(55ab18efa32b3e52b8b0a4bd),Added sugar provides minimal nutritional benefit. Health Canada recommends no more than 10% of total calories or 12.5 teaspoons (50g) of added sugar per day (based on a 2000 kcal diet). ,"Santé Canada ne recommande pas plus de 10% des calories totales ou 12,5 cuillères à café (50g) de sucre ajouté par jour (selon un régime alimentaire de 2000 kcal)."
ObjectId(55ab18efa32b3e52b8b0a4bf),Include a carbohydrate and protein at every snack.,Inclure un glucide et des protéines à chaque goûter.
ObjectId(55ab18efa32b3e52b8b0a4c1),Try to eat every 4-6 hours to prevent highs and lows associated with skipping meals. Remember to track your blood glucose levels if you change your eating habits.,Essayez de manger toutes les 4-6 heures pour éviter les hauts et les bas associés à sauter des repas. N'oubliez pas de suivre votre glycémie si vous changez vos habitudes alimentaires.
ObjectId(55ab18efa32b3e52b8b0a4c3),Choose sweet potatoes for a lower glycemic index food.,Choisir des patates douces pour une nourriture à indice glycémique inférieur.
ObjectId(55ab18efa32b3e52b8b0a4c5),Take advantage of the optical illusion! Use a smaller plate to help reduce portion sizes and overeating at meals and snacks.,Profitez de l'illusion d'optique! Utilisez une assiette plus petite pour aider à réduire la taille des portions et la suralimentation lors des repas et des collations.
ObjectId(55ab18efa32b3e52b8b0a4c7),This is how your plate should look.,C'est ainsi que votre assiette devrait ressembler.
ObjectId(55ab18efa32b3e52b8b0a4c9),Exercise can affect your blood glucose levels. Continue to monitor your levels to prevent unnecessary highs and lows.,L'exercice peut affecter votre taux de glycémie. Continuez à surveiller vos niveaux afin d'éviter les hauts et les bas inutiles.
ObjectId(55ab18efa32b3e52b8b0a4cb),Keep healthy foods in your kitchen where they are easily accessible.,Gardez des aliments sains dans votre cuisine où ils sont facilement accessibles.
ObjectId(55ab18efa32b3e52b8b0a4cd),"Pastas are generally low or medium GI, unless they are overcooked. Eat pastas cooked “al dente”. (For a healthier option, try whole grain or whole wheat varieties).","Les pâtes sont généralement de faible ou moyenne IG, sauf si elles sont trop cuites. Mangez des pâtes cuites"" al dente ""(pour une option plus saine, essayez de grains entiers ou variétés de blé entier)."
ObjectId(55ab18efa32b3e52b8b0a4cf),Try to include at least one low or medium GI food at every meal and snack!,Essayez d'inclure au moins un aliment IG faible ou moyen à chaque repas et collation!
ObjectId(55ab18efa32b3e52b8b0a4d1),"Legumes (lentils, chickpeas, kidney beans and navy beans) are high in fibre, low in fat and GI factor!","Les légumineuses (lentilles, pois chiches, haricots rouges et haricots blancs) sont riches en fibres, faibles en gras et facteur GI!"
ObjectId(55ab18efa32b3e52b8b0a4d3),"Healthy eating starts with having healthy foods in your home. 
1. Have a plan! 
2. Make a list! 
3. Stick to it!","Une alimentation saine commence par avoir des aliments sains dans votre maison. 
 
1. Avoir un plan! 
 
 2. Faites une liste! 
 
3. Respectez-le!"
ObjectId(55ab18efa32b3e52b8b0a4d5),Clinical studies have shown that there is no relationship between eating eggs and an increased risk of heart disease and stroke.,Les études cliniques ont montré qu'il n'y a aucune relation entre les œufs manger et un risque accru de maladie cardiaque et d'accident vasculaire cérébral.
ObjectId(55ab18efa32b3e52b8b0a4d7),"Eggs contain many important nutrients that your body needs for good health. If you don’t eat the yolk, you’ll miss out on many of the egg’s nutritional benefits. ","Les oeufs contiennent de nombreux nutriments importants dont votre corps a besoin pour une bonne santé. Si vous ne mangez pas le jaune, vous manquerez de nombreux avantages nutritionnels de l'œuf."
ObjectId(55ab18efa32b3e52b8b0a4d9),"Did you know that the average Canadian consumes about 3,400 mg of salt per day, which is well above the recommended intake of 1,500 mg for adults? Eating too much salt can cause many chronic diseases.Please click on picture for healthy recipes.","Saviez-vous que le Canadien moyen consomme environ 3,400 mg de sel par jour, ce qui est bien supérieur à la dose recommandée de 1 500 mg pour les adultes? Manger trop de sel peut causer de nombreuses maladies chroniques."
ObjectId(55ab18efa32b3e52b8b0a4db),Mindful eating is eating with intention and attention: Eating with the intention of caring for yourself Eating with the attention necessary for noticing and enjoying your food and its effects on your body.,Manger consciemment est manger avec intention et attention: Manger avec l'intention de prendre soin de vous Manger avec l'attention nécessaire pour remarquer et apprécier votre nourriture et ses effets sur votre corps.
ObjectId(55ab18efa32b3e52b8b0a4dd),"Four Steps to Food Safety
1. CLEAN: Wash hands and surfaces often.
2. SEPARATE: Separate raw meats from other foods.
3. COOK: Cook to the right temperatures.
4. CHILL: Refrigerate foods promptly.","Quatre étapes pour la salubrité des aliments 
 
1 NETTOYER: Lavez-vous souvent les mains et les surfaces. 
 
2 Séparez les viandes crues des autres aliments. Réfrigérer les aliments rapidement."
ObjectId(55ab18efa32b3e52b8b0a4df),"When choosing whole grains, look for products with at least 2-4 grams of fiber per serving. Foods high in fiber can help you manage your blood sugar, cholesterol and weight!","Lorsque vous choisissez des grains entiers, recherchez des produits contenant au moins 2-4 grammes de fibres par portion. Des aliments riches en fibres peuvent vous aider à gérer votre glycémie, votre cholestérol et votre poids!"
ObjectId(55ab18efa32b3e52b8b0a4e1),"Bagels may be bigger, but not better for you! One large bagel is equivalent to 4 slices of bread! Try reducing your portion to half a bagel for an appropriate serving size.",Un bagel est équivalent à 4 tranches de pain! Essayez de réduire votre portion à la moitié d'un bagel pour une taille de portion appropriée.
ObjectId(55ab18efa32b3e52b8b0a4e3),Regular physical activity can slow and prevent the progression of diabetes. The Canadian Diabetes Association recommends getting 150 minutes of aerobic activity a week.,L'activité physique régulière peut ralentir et prévenir la progression du diabète. L'Association canadienne du diabète recommande d'obtenir 150 minutes d'activité aérobique par semaine.
ObjectId(55ab18efa32b3e52b8b0a4e5),"Artificial sweeteners, such as stevia, sucralose and acesulfame potassium have no affect on blood sugar levels and are 30-3000 times sweeter than sugar. Substituting them for added sugars can add more flexibility to your diet, since sweeteners do not count as carbohydrates.","Les édulcorants artificiels comme le stevia, le sucralose et l'acésulfame de potassium n'ont pas d'effet sur la glycémie et sont 30 à 3000 fois plus sucrés que le sucre. Substituer les sucres ajoutés peut ajouter plus de souplesse à votre alimentation, car les édulcorants ne comptent pas comme des glucides. "
ObjectId(55ab190aa32b3e52b8b0a4e7),"The easiest way to log your meal is to snap a photo. We have a good success rate of recognizing popular food items. If your photo cannot be recognized, scan the barcode or search by keywords. Click here to try!","Si vous ne pouvez pas reconnaître votre photo, scannez le code à barres ou effectuez une recherche par mots clés. Cliquez ici pour essayer!"
ObjectId(55ab190aa32b3e52b8b0a505),"Currently the App is for an “average person”, but you are SPECIAL. Click here to personalize it with your age, gender, height, and so on.","Actuellement l'App est pour une ""personne moyenne"", mais vous êtes SPÉCIAL. Cliquez ici pour le personnaliser avec votre âge, sexe, taille, et ainsi de suite."
ObjectId(564419b0c01c18271b1f1c08),"Diabetes is a manageable condition, and we can HELP! Step One - set up reminders for when to take your medication so you will never forget! Click here.","Le diabète est une condition gérable, et nous pouvons vous aider! Première étape - mettre en place des rappels pour quand prendre vos médicaments afin que vous n'oublierez jamais!"
ObjectId(56441de3c01c18271b1f1c3e),"Did you notice you will get a score for your meal? 100 is best (meeting all ADA/CDA guidlines), 0 is worst. What score did you get? Try a few dishes you eat often!","Avez-vous remarqué que vous obtiendrez une note pour votre repas? 100 est le meilleur (répondant à toutes les lignes directrices ADA / CDA), 0 est pire.Qu'avez-vous obtenu? Essayez quelques plats que vous mangez souvent!"
ObjectId(565292b280c78b6f3a3dfa7c),"While you set up your profile, you can also enter an Access Code, If you were given one by us or by your organization. If you don’t have an Access Code, leave it blank, and you can still use the app free of charge.","Si vous n'avez pas de code d'accès, laissez-le vide et vous pouvez toujours utiliser l'application gratuitement frais."
ObjectId(565292ee80c78b6f3a3dfa86),"Add reminders for other routine actions, such as testing your blood sugar, doing exercise, and taking a meal or snack! Try it now.","Ajoutez des rappels pour d'autres actions courantes, comme tester votre glycémie, faire de l'exercice, et prendre un repas ou une collation! Essayez-le maintenant."
ObjectId(5652932e80c78b6f3a3dfa89),How do you like our App so far? Let us know so we can improve! Click here to send us an email.,Cliquez ici pour nous envoyer un e-mail.
ObjectId(5652937f80c78b6f3a3dfa8b),"The data you enter is uploaded and kept in your secure and private Online Logbook. Click here to see yours, or a demo user’s. The more info you log, the more detailed your logbook will be (like the demo logbook).","Les données que vous entrez sont téléchargées et conservées dans votre carnet de connexion en ligne sécurisé et privé Cliquez ici pour voir le vôtre ou l'utilisateur d'une démo. Plus vous enregistrez d'informations, plus votre journal de bord sera détaillé."
ObjectId(565293d380c78b6f3a3dfa8e),"While in your Online Logbook, you can click the Print button on the top right to print a concise version to bring to and share with your health care providers.","Pendant que vous êtes dans votre journal en ligne, vous pouvez cliquer sur le bouton Imprimer en haut à droite pour imprimer une version concise à apporter et à partager avec vos fournisseurs de soins de santé."
ObjectId(5652941b80c78b6f3a3dfa90),Regular exercise is important for you. Set up a reminder for regular exercise (click here).  Just carry your smartphone in your pants pocket as your walking/jogging; your steps will be counted by the App.  Start with light exercise and increase time and intensity gradually!,"Il suffit de transporter votre smartphone dans la poche de votre pantalon comme votre marche / jogging, vos étapes seront comptées par l'App. Commencez par un exercice léger et augmenter la durée Et l'intensité progressivement! "
ObjectId(5652945280c78b6f3a3dfa98),"We hope you like our App. Visit our homepage, and follow us on Twitter, Facebook, and LinkedIn. See the events to come or held in the past. Send us emails… We want to hear from you so we can further improve!","Nous espérons que vous aimerez notre App. Visitez notre page d'accueil et suivez-nous sur Twitter, Facebook et LinkedIn.Visitez les événements à venir ou tenus dans le passé. Envoyez-nous des courriels ... Nous voulons savoir de vous afin que nous puissions améliorer encore! "
ObjectId(56afd524bdbac76d4a4ec09b),"Hey! Personalize your profile with your age, gender, height, and so on, to receive personalized meal score and feedback just for you! Simply go to Menu (top left) and Profile to update.","Personnalisez votre profil avec votre âge, votre sexe, votre taille, et ainsi de suite, pour recevoir des notes de repas personnalisées et des commentaires juste pour vous! Allez simplement à Menu (en haut à gauche) et Profil à mettre à jour."
ObjectId(56afd559bdbac76d4a4ec09c),"Food recognition is very hard, but we are working harder to improve it :) Please do not forget to check top-5 predictions. 
If we cannot recognize your food, your photos may still be used to improve our computer models. So thank-you for helping us learn and improve our models that meet your need.","La reconnaissance des aliments est très difficile, mais nous travaillons plus dur pour l'améliorer :) S'il vous plaît n'oubliez pas de vérifier les 5 meilleures prévisions. 
Si nous ne pouvons pas reconnaître votre nourriture, vos photos peuvent encore être utilisées pour améliorer nos modèles informatiques. -vous pour nous aider à apprendre et améliorer nos modèles qui répondent à vos besoins. "
ObjectId(56afd57bbdbac76d4a4ec09d),"Use our app as a personalized ""Guide"" to help you learn to better manage your diabetes. Your effort will pay off as you continue to use our app to help you manage diabetes daily. Many of our users have learned to manage their diabetes so well, they even reduced their medications while maintaining the same or lower A1c. You can get there too!","Utilisez notre application comme un ""Guide"" personnalisé pour vous aider à mieux gérer votre diabète. Votre effort sera payant alors que vous continuez à utiliser notre application pour vous aider à gérer le diabète quotidiennement. Diabète si bien, ils ont même réduit leurs médicaments tout en maintenant la même A1c ou moins. Vous pouvez y arriver aussi! "
ObjectId(56afd59fbdbac76d4a4ec09f),"With diabetes, eating a balanced diet at EVERY meal is more important than just meeting your daily calorie requirement. We have a unique feature called Meal Score. Review your personalized meal score, and try to improve it over days and weeks. 100 is the BEST (meaning your meal matches perfectly the CDA and Health Canada Guidelines with your Profile).","Avec le diabète, manger une alimentation équilibrée à chaque repas est plus important que de simplement répondre à vos besoins caloriques quotidiens.Nous avons une caractéristique unique appelé Meal Score.Reviser votre pointage de repas personnalisé, et essayer de l'améliorer au cours des jours et des semaines. BEST (ce qui signifie que votre repas correspond parfaitement aux lignes directrices de l'ACD et de Santé Canada avec votre profil)."
ObjectId(56c4d8271aece8437cc26f1b),"Did you know, our app has the Patent-pending feature called Reminder with 1-click Log? That means you can just click ""Take & Log"" when the set reminder pops up, and the repeated event is logged automatically!","Saviez-vous, notre application a la fonctionnalité en instance de brevet appelée Rappel avec 1-cliquez sur le journal? Cela signifie que vous pouvez simplement cliquer sur ""Take & Log"" lorsque le rappel de jeu apparaît et l'événement répété est enregistré automatiquement! "
ObjectId(56c4de1c1aece8437cc26f41),"Our app is an evidence-based guide to improve your diabetes, and meet your A1c target. This has been demonstrated in a clinical trial conducted at Western University. See here for our peer-reviewed paper.","Notre application est un guide fondé sur des données probantes pour améliorer votre diabète et atteindre votre cible d'A1c, ce qui a été démontré lors d'un essai clinique mené à Western University."
ObjectId(56c4ed601aece8437cc26f72),"Monitor your blood pressure regularly to make sure it is under control, at 130/80 mmHg or less. Smoking, alcohol, stress, and diet can affect your blood pressure. Exercise, healthy eating, and proper medication can help lower your blood pressure.Talk to your doctor if you have high blood pressure.","Le tabagisme, l'alcool, le stress et l'alimentation peuvent affecter votre tension artérielle. L'exercice physique, l'alimentation saine et les médicaments appropriés peuvent aider à réduire votre tension artérielle. . Parler à votre docteur si vous avez l'hypertension. "
ObjectId(56d0b1607a997200341edd3d),Need a reminder to take your medication? Set up reminder here! Setting reminder helps you log your medication in one click!,Vous avez besoin d'un rappel pour prendre votre médicament? Mettre en place un rappel ici!
ObjectId(56d49d807a997200341f1949),Always carry a form of quick-acting sugar on you (like candy!) when you exercise to prevent low blood sugar.,Toujours porter une forme de sucre à action rapide sur vous (comme les bonbons!) Lorsque vous faites de l'exercice pour prévenir la glycémie faible.
ObjectId(56d49d9d7a997200341f194a),"Go for a walk or do some physical activity 1-2 hours after your meal, when your blood sugar is highest, to use up the blood sugar as energy!","Allez faire une promenade ou faire de l'activité physique 1-2 heures après votre repas, quand votre taux de sucre dans le sang est le plus élevé, pour utiliser le sucre dans le sang comme de l'énergie!"
ObjectId(56d9e2877a997200341f7252),"Do you know diabetes is a slow and silent ""killer""?  It can lead to amputation, blindness, heart attack, and so on.  The good news is if you manage your blood sugar well with our app, you can delay or even prevent these dangerous complications!","Vous savez que le diabète est un ""tueur"" lent et silencieux? Cela peut mener à l'amputation, à la cécité, à une crise cardiaque, et ainsi de suite.La bonne nouvelle est que si vous gérez bien votre glycémie avec notre application, Même prévenir ces complications dangereuses! "
ObjectId(576abfae081ad20c5cdca358),"Every minute counts! You don't have to exercise for a long time to gain benefits; break down your physical activity into short, 10-minute chunks throughout the day.","Chaque minute compte! Vous n'avez pas à exercer pendant une longue période pour obtenir des avantages, décomposer votre activité physique en petits morceaux de 10 minutes tout au long de la journée."
ObjectId(576ac0e8081ad20c5cdca362),"Resistance exercise helps you gain lean muscle by improving your strength and flexibility; try resistance exercises using your own body weight, light hand weights, yoga, and exercise bands.","L'exercice de résistance vous aide à gagner du muscle maigre en améliorant votre force et votre flexibilité, essayez des exercices de résistance en utilisant votre propre poids corporel, vos poids légers, votre yoga et vos bandes d'exercice."
ObjectId(576ac165081ad20c5cdca365),Safety first! Listen to your body and talk to your healthcare provider if you experience shortness of breath or chest pain while exercising. Consult your doctor before you try any new activities.,Sûreté d'abord: écoutez votre corps et parlez-en à votre professionnel de la santé si vous éprouvez de l'essoufflement ou des douleurs thoraciques pendant l'exercice.
ObjectId(576ac6ce081ad20c5cdca37c),"To maintain physical activity, it's important to do something you enjoy. Try active hobbies such as sports, dancing, biking to work, or gardening.","Pour maintenir l'activité physique, il est important de faire quelque chose que vous aimez. Essayez des passe-temps actifs tels que le sport, la danse, le vélo au travail ou le jardinage."
ObjectId(576ac796081ad20c5cdca384),"Pick vegetables that are different, bright colours to increase the variety of beneficial vitamins, minerals and antioxidants in your diet.","Choisissez des légumes qui sont différentes, couleurs vives pour augmenter la variété des vitamines bénéfiques, minéraux et antioxydants dans votre alimentation."
ObjectId(576ac82c081ad20c5cdca388),"Foods can be both healthy and tasty! Flavour your food with delicious spices and herbs; limit butter, salt, and sugar in your cooking.","Les aliments peuvent être à la fois sains et savoureux! Savez vos aliments avec des épices et des herbes délicieuses, limitez le beurre, le sel et le sucre dans votre cuisine."
ObjectId(576ac8b8081ad20c5cdca397),Some reduced-fat products use sugars and starches as substitutes. Be sure to check the nutrition label for sugar content and ingredients.,Certains produits à teneur réduite en matières grasses utilisent des sucres et des amidons comme substituts. Assurez-vous de vérifier l'étiquette nutritionnelle pour la teneur en sucre et les ingrédients.
ObjectId(576ace28081ad20c5cdca3aa),"To reduce fat in your diet: try plant-based proteins like beans and tofu, steam or bake your food instead of frying, trim off the fat from your meat and skim the fat from the broth.","Pour réduire la graisse dans votre alimentation: essayez les protéines végétales comme les haricots et le tofu, la vapeur ou cuire vos aliments au lieu de frire, couper la graisse de votre viande et écumer la graisse du bouillon."
ObjectId(576acf1a081ad20c5cdca3af),"Skim milk and partly-skimmed milk both contain the same level of nutrients as whole milk, minus the fat content!","Le lait écrémé et le lait partiellement écrémé contiennent tous deux le même niveau de nutriments que le lait entier, moins la teneur en matière grasse!"
ObjectId(576acfc2081ad20c5cdca3b2),"Quench your thirst with water! Make your calories count and avoid empty calories (without nutrients) from soft drinks, lattes, and slushies.","Faites tremper votre soif avec de l'eau! Faites vos calories compter et éviter les calories vides (sans nutriments) de boissons gazeuses, lattes et slushies."
ObjectId(576ad06b081ad20c5cdca3b6),"Fibre helps with your blood sugar, cholesterol, weight and blood pressure. To add more fibre to your diet: eat fruits with the skin, eat more whole grain products, add nuts and seeds to your diet, and eat more plant based protein like legumes.","Pour ajouter plus de fibres à votre alimentation: manger des fruits avec la peau, manger plus de produits à base de céréales complètes, ajouter des noix et des graines à votre alimentation, et manger plus de protéines à base de plantes comme Légumineuses."
ObjectId(576b04a9081ad20c5cdca4c3),We noticed you have been using our app for more than a week! Great job for being an active self-manager of your health. Learn from our personalized feedback and apply it to your daily life!,Nous avons remarqué que vous utilisiez notre application depuis plus d'une semaine! C'est un excellent travail pour être un gestionnaire actif de votre santé.
ObjectId(576b0509081ad20c5cdca4c7),"Hey there! You have received a voice tip, click to hear!","Hé là! Vous avez reçu un conseil vocal, cliquez pour entendre!"
ObjectId(576b0540081ad20c5cdca4c8),"Your profile is still set at the default values (male, born in 1975, ...). Personalize your profile with your age, gender, height, and so on, to receive personalized feedback just for you! Simply go to Menu (top left) and Profile to update.","Personnalisez votre profil avec votre âge, votre sexe, votre taille, et ainsi de suite, pour recevoir des commentaires personnalisés pour vous! Allez simplement à Menu ( En haut à gauche) et Profil à mettre à jour. "
ObjectId(576b0561081ad20c5cdca4c9),"Need a reminder to take your medication, blood glucose, or exercise? Set up a reminder here! When it is time, the App will ""ding"" you; it is like your personal secretary!","Avez-vous besoin d'un rappel pour prendre vos médicaments, la glycémie, ou l'exercice? Mettre en place un rappel ici! Quand il est temps, l'App va ""ding"" vous, c'est comme votre secrétaire personnel!"
ObjectId(576b08e2081ad20c5cdca4d5),We noticed you have been using our app for at least 7 days in a row! Great job for being an active self-manager of your health. Learn from our personalized feedback and apply it to your daily life!,Nous avons remarqué que vous utilisiez notre application depuis au moins 7 jours d'affilée! Un excellent travail pour être un gestionnaire actif de votre santé.
ObjectId(576b0933081ad20c5cdca4d7),"Hey there! You have received a voice tip, click to hear!","Hé là! Vous avez reçu un conseil vocal, cliquez pour entendre!"
ObjectId(577582fad383e7951f1bb63d),"Your weekly Personal Report: You earned a total of $total_points$ points! 
$meal_points$ points came from your meal/diet, $exercise_points$ point came from your exercise, $usage_points$ point came from your App usage.
Tips for improving your points for next week: 
1. Log meals more often, and try to achieve higher scores for healthier diet. 
2. Carry your phone in your pants pocket to walk/jog, and be more active!","Votre rapport personnel hebdomadaire: vous avez gagné un total de $points_points$ points! 
 $points_mâts$ points proviennent de votre repas / régime, $exercice_points$ point provient de votre exercice, $usage_points$ point provient de l'utilisation de votre application.
Conseils pour améliorer vos points pour la semaine prochaine: 
1 . 
 2. Portez votre téléphone dans la poche de votre pantalon pour marcher / courir, et être plus actif!"
ObjectId(579fffcbcbd5f76d731bc4de),Your meal score needs some improvement. Click “See Nutrition Facts” in the App to see how you can improve.,"Votre pointage de repas doit être amélioré. Cliquez sur ""Voir la fiche nutritionnelle"" dans l'App pour voir comment vous pouvez améliorer."
ObjectId(57a00053cbd5f76d731bc4e1),"You recent meal score was quite low. Feel free to use the ""Ask Expert"" feature to consult our health team on ways to improve.","Votre score de repas récent était assez bas. N'hésitez pas à utiliser la fonctionnalité ""Demander aux experts"" pour consulter notre équipe de santé sur les moyens d'améliorer."
ObjectId(57a0007ccbd5f76d731bc4e4),"Your recent meal score seems low. Check your profile to make sure you have entered your personal information (height, weight, age, gender) correctly.","Vérifiez votre profil pour vous assurer que vous avez entré vos informations personnelles (hauteur, poids, âge, sexe) correctement. "
ObjectId(57a00102cbd5f76d731bc4e7),Your meal score seems low. Be sure to log your whole meal and not just part of a meal.,Votre pointage de repas semble faible. N'oubliez pas de consigner votre repas complet et pas seulement une partie d'un repas.
ObjectId(57a0011bcbd5f76d731bc4ea),Your meal score seems low. You can adjust the calorie distribution of your meal according to your usual eating habits. You can adjust calorie distribution in menu.,Vous pouvez ajuster la distribution de calories de votre repas en fonction de vos habitudes alimentaires. Vous pouvez ajuster la distribution de calories dans le menu.
ObjectId(57a001f2cbd5f76d731bc4ed),Excellent! Your meal score was $MealScore$. Congratulations!,Excellent! Votre note de repas était $MealScore$. Félicitations!
ObjectId(57a0024ecbd5f76d731bc4f1),Your meal scores are looking good but can be improved. See nutrition details to learn how.,"Vos notes de repas sont bonnes, mais elles peuvent être améliorées."
ObjectId(57a00e20cbd5f76d731bc4f4),"Your food data shows that you are eating too much carbohydrate. Try cutting down on sweets, bread, rice, pasta, or potatoes.","Vos données sur les aliments montrent que vous mangez trop de glucides. Essayez de réduire les sucreries, le pain, le riz, les pâtes ou les pommes de terre."
ObjectId(57a00f29cbd5f76d731bc4f7),Your step count indicates 0 steps. Have you turned on the app's pedometer and put the phone in your pants pocket when you walk or jog? Watch the how-to video to learn how!,Votre compteur d'étapes indique 0 étape. Avez-vous activé le podomètre de l'application et avez mis le téléphone dans la poche de votre pantalon lorsque vous marchez ou faites du jogging?
ObjectId(57a00f62cbd5f76d731bc4fa),"Your step count seems quite low for today. Carry your phone in your purse or pocket when you go for a walk to track your activity, and become more active to stay healthy!",Votre compteur de pas semble tout à fait bas aujourd'hui. Portez votre téléphone dans votre sac ou votre poche lorsque vous allez faire une promenade pour suivre votre activité et devenir plus actifs pour rester en bonne santé!
ObjectId(57a01384cbd5f76d731bc4fd),Good job on walking $StepCount$ steps today. Try to reach $StepCountGoal$ tomorrow. You can do it $FirstName$!,"Bonne marche en marchant $StepCount$ steps today. Essayez d'atteindre $StepCountGoal$ demain, vous pouvez le faire $FirstName$!"
ObjectId(57a013becbd5f76d731bc503),"Your BMI in within the ""Overweight"" range. You should be mindful of weight management to prevent serious chronic health issues such as metabolic syndrome, heart disease, high blood pressure, uncontrolled blood glucose. Refer to this resource for tips on health weight management.","Vous devriez être conscient de la gestion du poids pour prévenir les problèmes de santé chroniques graves comme le syndrome métabolique, les maladies cardiaques, l'hypertension artérielle, la glycémie non contrôlée. Reportez-vous à cette ressource pour obtenir des conseils sur la santé gestion du poids."
ObjectId(57a015c6cbd5f76d731bc506),"Your BMI is within the ""Obese"" range. Losing only 5% of your weight can already benefit your overall health and prevent further serious health issues. Consult with a healthcare provider regarding your weightloss goal and how to achieve healthy weight management.",Perte de seulement 5% de votre poids peut déjà bénéficier votre santé globale et prévenir d'autres problèmes de santé graves. Consultez votre fournisseur de soins de santé au sujet de votre objectif de perte de poids et comment parvenir à une gestion du poids saine. 
ObjectId(57a01619cbd5f76d731bc509),"For an individual of your age range, start with a step count goal of about 3000 - 4000 steps a day. If you feel comfortable, increase your goal by 1000 steps.","Si vous vous sentez à l'aise, augmentez votre objectif de 1000 pas. Pour un individu de votre tranche d'âge, commencez par un objectif de comptage de pas de 3000 à 4000 pas par jour."
ObjectId(57a97879ad891b1db871e447),You are so close to your daily step count goal of $StepCountGoal$ steps! Keep it up and you will get there!,Vous êtes si près de votre objectif de comptage de pas quotidien de $StepCountGoal$ étapes! Continuez et vous y arriverez!
ObjectId(57a978dfad891b1db871e44b),"Congratulations on walking over 6,000 steps today and be active!  Keep it up $FirstName$!",Félicitations pour avoir parcouru plus de 6000 marches aujourd'hui et être actif! Keep it up $FirstName$!
ObjectId(57bb6534a7bc64c1268e202d),We aim to help you improve your overall health. Ask us any questions you have about how to improve your daily meal scores. Remember we are here to support you and we believe you can do it!,Nous nous efforçons de vous aider à améliorer votre état de santé général.
ObjectId(57bb6593a7bc64c1268e202f),Your recent meal score was $MealScore$. It seems that you're on the right track in healthy eating. Keep it up!,Votre score récent de repas était $MealScore$. Il semble que vous êtes sur la bonne voie dans l'alimentation saine.
ObjectId(57bb6610a7bc64c1268e2033),Great job on your fantastic meal score of $MealScore$. You are becoming a champion for healthy living!,Un excellent travail sur votre repas fantastique score de $MealScore$. Vous devenez un champion pour une vie saine!
ObjectId(57bb665da7bc64c1268e2037),We are very pleased that you obtained an meal score of $MealScore$. We hope you continue this excellent effort in your health journey.,Nous sommes très heureux que vous ayez obtenu un score de repas de $MealScore$. Nous espérons que vous continuerez cet excellent effort dans votre voyage de santé.
